model,MAE,RMSE,MASE,Bias,n_points
feature_model,29.262772567460324,52.87302584430507,0.5477481039363201,-2.9476579603174606,336
foundation_model,32.82044054464286,67.09191642423158,0.6143414482424444,-18.649205737103173,336
sarimax,36.82673378079652,65.19694090164657,0.6893322755421191,-5.723630422812878,336
seasonal_naive_weekly,43.457341269841265,81.40888006825948,0.813445692057847,-13.159722222222223,336
seasonal_naive_daily,48.30853174603175,85.56471876821426,0.9042515232223917,1.750992063492064,336
mean,50.25809156123767,74.938304240935,0.9407438853124055,-3.286761541802694,336
naive,85.55059523809524,110.38970919802894,1.601358047131799,50.97718253968254,336
drift,85.8020893795971,110.67918975059628,1.6060655791621685,51.36792204027676,336
